"NPDES DMR Parameter to Pollutant Category Crosswalk"

POLLUTANT_CODE,POLLUTANT_DESC,PARAMETER_CODE,PARAMETER_DESC,COUNT_PERMITS_WITH_LIMITS,CHEMICAL_ABSTRACT_SERVICE_NMBR,SRS_ID,TOXIC_WEIGHTING_FACTOR,QNCR_POLL_CODE,NITROGEN,PHOSPHORUS,ORGANIC_ENRICHMENT,SOLIDS,PATHOGEN_INDICATORS,METALS,CWA_PRIORITY_POLLUTANTS,CERCLA_HAZ_SUBST,TRI_CHEMICALS,TEMPERATURE,GEN_RADIOACTIVITY,RADIONUCLIDES,COLOR,WHOLE_EFFLUENT_TOXICITY,PFAS
"10005","Di(2-ethylhexyl) phthalate","46312","Diethylhexyl phthalate",0,"117817","29934",.25,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10005","Di(2-ethylhexyl) phthalate","39102","Bis(2-ethylhexyl) phthalate, dry wgt",2,"117817","29934",.25,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10006","Butyl benzyl phthalate","34292","Butyl benzyl phthalate",1327,"85687","10470",.02,"Group 2","","","","","","","Y","Y","","","","","","",""
"10007","Dibutyl phthalate","39112","Di-n-butyl phthalate, dry weight",0,"84742","10025",.01,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10007","Dibutyl phthalate","39110","Di-n-butyl phthalate",1634,"84742","10025",.01,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10007","Dibutyl phthalate","51011","Dibutyl phthalate",2,"84742","10025",.01,"Pollutant Not Used for QNCR","","","","","","","Y","Y","Y","","","","","",""
"10008","Diethyl phthalate","34336","Diethyl phthalate",1630,"84662","9985",.00068775,"Group 2","","","","","","","Y","Y","","","","","","",""
"10008","Diethyl phthalate","34339","Diethyl phthalate, dry weight",0,"84662","9985",.00068775,"Group 2","","","","","","","Y","Y","","","","","","",""
"10009","Di-n-octyl phthalate","34599","Di-n-octyl phthalate, dry weight",0,"117840","29967",.46,"Group 2","","","","","","","Y","Y","","","","","","",""
"10009","Di-n-octyl phthalate","34596","Di-n-octyl phthalate",808,"117840","29967",.46,"Group 2","","","","","","","Y","Y","","","","","","",""
"10011","Diethylenetriamine","51611","Diethylenetriamine [DETA]",0,"111400","27490",,"Group 2","","","","","","","","","","","","","","",""
"10012","Ethylene glycol","77023","Ethylene glycol",29,"107211","24257",.00134033333333333,"Group 2","","","","","","","","Y","Y","","","","","",""
"10012","Ethylene glycol","50901","Glycol (total)",11,"107211","24257",.00134033333333333,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"10012","Ethylene glycol","81688","Ethylene glycol",30,"107211","24257",.00134033333333333,"Group 2","","","","","","","","Y","Y","","","","","",""
"10012","Ethylene glycol","49489","Glycol, total",13,"107211","24257",.00134033333333333,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"10014","Mirex","39755","Mirex",122,"2385855","100883",5614.98,"Group 2","","","","","","","","","","","","","","",""
"10015","Atrazine","39632","Atrazine, dissolved",1,"1912249","94128",1.04,"Group 2","","","","","","","","Y","Y","","","","","",""
"10015","Atrazine","39033","Atrazine",275,"1912249","94128",1.04,"Group 2","","","","","","","","Y","Y","","","","","",""
"10017","Hexachlorobutadiene","34391","Hexachlorobutadiene",972,"87683","11346",.63,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10017","Hexachlorobutadiene","39702","Hexachlorobutadiene",664,"87683","11346",.63,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10017","Hexachlorobutadiene","39705","Hexachlorobutadiene, dry weight",0,"87683","11346",.63,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10018","Chloroprene","81520","Chloroprene",1,"126998","34090",.11,"Group 2","","","","","","","","Y","Y","","","","","",""
"10019","Isoprene","34042","Isoprene",0,"78795","7328",,"Group 2","","","","","","","","Y","Y","","","","","",""
"10023","Chlorthal-dimethyl","51141","DCPA",1,"1861321","93518",.07,"Group 2","","","","","","","","","","","","","","",""
"10023","Chlorthal-dimethyl","39770","Dacthal",1,"1861321","93518",.07,"Group 2","","","","","","","","","","","","","","",""
"10023","Chlorthal-dimethyl","82682","DCPA, total recoverable",0,"1861321","93518",.07,"Pollutant Not Used for QNCR","","","","","","","","","","","","","","",""
"10024","Aldrin","39333","Aldrin, dry weight",0,"309002","42002",11140.05,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10024","Aldrin","39330","Aldrin",892,"309002","42002",11140.05,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10026","1-Butanol","45265","Butanol",2,"71363","4739",.0001023365783594,"Group 2","","","","","","","","Y","Y","","","","","",""
"10026","1-Butanol","77304","1-Butanol",0,"71363","4739",.0001023365783594,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"10026","1-Butanol","77034","1-Butanol",1,"71363","4739",.0001023365783594,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"10027","Methoxypropylamine","22454","Methoxypropylamine",0,"5332730","131037",,"Group 2","","","","","","","","","","","","","","",""
"10028","Isobutanol","77033","Isobutyl alcohol",4,"78831","7351",.00141026666666667,"Group 2","","","","","","","","Y","","","","","","",""
"10030","Propylene","76998","Propene, total",1,"115071","29009",.000703164239075841,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"10031","1,3-Dichloropropene","34561","1,3-Dichloropropene, total weight",30,"542756","52449",.56,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10031","1,3-Dichloropropene","77163","1,3-Dichloropropene",1068,"542756","52449",.56,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"10031","1,3-Dichloropropene","51044","1,3-Dichloropropylene",651,"542756","52449",.56,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10032","cis-1,3-Dichloropropene","34704","cis-1,3-Dichloropropene",83,"10061015","167445",.02,"Group 2","","","","","","","","","","","","","","",""
"10033","Allyl chloride","78109","Allyl chloride, total",1,"107051","24109",.00335264256825076,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"10035","Molinate","49562","Molinate",112,"2212671","98590",.3,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"10035","Molinate","82199","Ordram",0,"2212671","98590",.3,"Group 2","","","","","","","","Y","Y","","","","","",""
"10037","Bromacil","30311","Bromacil",1,"314409","42127",.0056,"Group 2","","","","","","","","Y","Y","","","","","",""
"10037","Bromacil","82198","Bromacil",0,"314409","42127",.0056,"Group 2","","","","","","","","Y","Y","","","","","",""
"10038","Terbacil","30234","Terbacil",1,"5902512","136010",.00113689193807673,"Group 2","","","","","","","","Y","Y","","","","","",""
"10039","Dieldrin","39383","Dieldrin, dry weight",1,"60571","3426",10560.8,"Group 2","","","","","","","Y","Y","","","","","","",""
"10039","Dieldrin","39380","Dieldrin",992,"60571","3426",10560.8,"Group 2","","","","","","","Y","Y","","","","","","",""
"10040","Endrin","39390","Endrin",874,"72208","4887",162.43,"Group 2","","","","","","","Y","Y","","","","","","",""
"10041","Methyl ethyl ketone peroxide","73525","2-Butanone peroxide",1,"1338234","85969",,"Group 2","","","","","","","","Y","","","","","","",""
"10042","Isophorone","34411","Isophorone, dry weight",0,"78591","7187",.00109163090909091,"Group 2","","","","","","","Y","Y","","","","","","",""
"10042","Isophorone","34408","Isophorone",1321,"78591","7187",.00109163090909091,"Group 2","","","","","","","Y","Y","","","","","","",""
"10043","Furfural","81588","Furfural",2,"98011","17699",.01,"Group 2","","","","","","","","Y","","","","","","",""
"10046","Methyl isobutyl ketone","81596","Methyl isobutyl ketone",22,"108101","24851",.000153011993259986,"Group 2","","","","","","","","Y","Y","","","","","",""
"10046","Methyl isobutyl ketone","78133","4-Methyl-2-pentanone",17,"108101","24851",.000153011993259986,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"10047","Isopropanol","77015","Isopropanol",20,"67630","4291",.0056,"Group 2","","","","","","","","Y","Y","","","","","",""
"10047","Isopropanol","75062","Isopropyl alcohol (C3H8O), sed.",4,"67630","4291",.0056,"Group 2","","","","","","","","Y","Y","","","","","",""
"10049","TCPP [Tris [1-chloro-2-propyl] phosphate]","51762","TCPP [Tris [1-chloro-2-propyl] phosphate]",2,"13674845","189555",,"Group 2","","","","","","","","","","","","","","",""
"10050","tert-Butanol","51071","t-Butyl alcohol",4,"75650","5751",.000031638418079096,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"10050","tert-Butanol","77035","2-Methyl-2-propanol",4,"75650","5751",.000031638418079096,"Group 2","","","","","","","","Y","Y","","","","","",""
"10050","tert-Butanol","51008","TBA",341,"75650","5751",.000031638418079096,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"10051","Acetone","79539","Acetone, in waste",2,"67641","4309",.0000084610718113612,"Group 2","","","","","","","","Y","","","","","","",""
"10051","Acetone","50762","2-Propanone",0,"67641","4309",.0000084610718113612,"Group 2","","","","","","","","Y","","","","","","",""
"10051","Acetone","73191","Acetone, dry weight",1,"67641","4309",.0000084610718113612,"Group 2","","","","","","","","Y","","","","","","",""
"10051","Acetone","81552","Acetone",299,"67641","4309",.0000084610718113612,"Group 2","","","","","","","","Y","","","","","","",""
"10053","2-Propen-1-ol","73505","2-Propen-1-ol",0,"107186","24224",,"Group 2","","","","","","","","Y","Y","","","","","",""
"10054","Acrolein","34210","Acrolein",1374,"107028","24075",.98,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10054","Acrolein","34213","Acrolein, dry weight",0,"107028","24075",.98,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10057","Acrylonitrile","34215","Acrylonitrile",1283,"107131","24182",2.27,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10057","Acrylonitrile","34218","Acrylonitrile, dry weight",0,"107131","24182",2.27,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10058","Methacrylonitrile","81593","Methacrylonitrile",1,"126987","34082",.00151133200795229,"Group 2","","","","","","","","Y","Y","","","","","",""
"10060","Methyl methacrylate","81597","Methyl methacrylate",3,"80626","8458",.000299793717277487,"Group 2","","","","","","","","Y","Y","","","","","",""
"10063","N-Methyl-2-pyrrolidone","77102","N-Methyl-2-pyrrolidone",2,"872504","72744",,"Group 2","","","","","","","","Y","Y","","","","","",""
"10067","Paraquat","82416","Paraquat",64,"4685147","126730",,"Group 2","","","","","","","","","","","","","","",""
"10068","Chlordane","51032","Chlordane",165,"57749","2683",1993.22,"Pollutant Not Used for QNCR","","","","","","","Y","Y","Y","","","","","",""
"10069","Dicyclopentadiene","81572","Dicyclopentadiene",1,"77736","6643",.00466666666666667,"Group 2","","","","","","","","Y","Y","","","","","",""
"10071","Carbofuran","81405","Carbofuran",192,"1563662","88666",.06,"Group 2","","","","","","","","Y","Y","","","","","",""
"10072","Fluorene","34384","Fluorene, dry weight",10,"86737","10892",.7,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10072","Fluorene","34381","Fluorene",3100,"86737","10892",.7,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10074","Acenaphthene","34205","Acenaphthene",3063,"83329","9555",.03,"Group 2","","","","","","","Y","Y","","","","","","",""
"10074","Acenaphthene","34208","Acenaphthene, sed (dry weight)",11,"83329","9555",.03,"Group 2","","","","","","","Y","Y","","","","","","",""
"10075","Metolachlor","39356","Metolachlor",4,"51218452","291013",.02,"Pollutant Not Used for QNCR","","","","","","","","","","","","","","",""
"10076","Acetochlor","04240","Acetochlor",4,"34256821","266114",.14,"Pollutant Not Used for QNCR","","","","","","","","","","","","","","",""
"10077","Vinyl acetate","73299","Vinyl acetate, dry weight",0,"108054","24828",.0040028,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"10077","Vinyl acetate","77057","Vinyl acetate",3,"108054","24828",.0040028,"Group 2","","","","","","","","Y","Y","","","","","",""
"10078","Ethyl acetate","81585","Ethyl acetate",22,"141786","38455",.000583577547495682,"Group 2","","","","","","","","Y","","","","","","",""
"10079","2,4,5-T","39740","2,4,5-T",11,"93765","15065",.28,"Group 2","","","","","","","","Y","","","","","","",""
"10080","2,4-D","39730","2,4-Dichlorophenoxyacetic acid",219,"94757","15651",.00781475409836066,"Group 2","","","","","","","","Y","Y","","","","","",""
"10082","n-Butyl acetate","78531","Butyl acetate",3,"123864","33233",.00311111111111111,"Group 2","","","","","","","","Y","","","","","","",""
"10082","n-Butyl acetate","77189","n-Butyl acetate",9,"123864","33233",.00311111111111111,"Group 2","","","","","","","","Y","","","","","","",""
"10083","Chloroacetic acid","78213","Monochloroacetic acid",3,"79118","7625",.000805,"Group 2","","","","","","","","Y","Y","","","","","",""
"10085","Methyl acetate","77032","Methyl acetate",1,"79209","7674",,"Group 2","","","","","","","","","","","","","","",""
"10086","n-Amyl acetate","51002","n-Amyl acetate",15,"628637","64394",.000861538461538461,"Group 2","","","","","","","","Y","","","","","","",""
"10086","n-Amyl acetate","03809","Amyl acetate, total",7,"628637","64394",.000861538461538461,"Pollutant Not Used for QNCR","","","","","","","","Y","","","","","","",""
"10087","Potassium Acetate","51561","Potassium Acetate",0,"127082","34124",,"Group 1","","","","","","","","","","","","","","",""
"10089","Trichloroacetic acid","82723","Trichloroacetic acid (TCAA)",9,"76039","",,"Group 2","","","","","","","","","","","","","","",""
"10091","Halogens, adsorbable organic","50256","Halogens, adsorbable organic (AOX)",0,"","",,"Pollutant Not Used for QNCR","","","","","","","","","","","","","","",""
"10091","Halogens, adsorbable organic","51540","Purgeable Organic Halides",1,"","",,"Group 2","","","","","","","","","","","","","","",""
"10091","Halogens, adsorbable organic","79855","Adsorbable organic halides (AOX)",36,"","",,"Pollutant Not Used for QNCR","","","","","","","","","","","","","","",""
"10091","Halogens, adsorbable organic","51539","Nonpurgeable Organic Halides",1,"","",,"Group 2","","","","","","","","","","","","","","",""
"10091","Halogens, adsorbable organic","03594","Halogens, adsorbable organic",36,"","",,"Group 2","","","","","","","","","","","","","","",""
"10093","Aluminum chloride","22405","Aluminum chloride, dissolved, water",1,"7446700","150482",,"Group 1","","","","","","","","","","","","","","",""
"10097","Asbestos, total amphibole","00973","Asbestos, total amphibole",2,"1318098","709485",,"Pollutant Not Used for QNCR","","","","","","","Y","Y","","","","","","",""
"10100","Polycyclic aromatic hydrocarbons","22456","Polynuc aromatic HC per Method 610",1219,"130498292","627059",,"Pollutant Not Used for QNCR","","","","","","","","","Y","","","","","",""
"10100","Polycyclic aromatic hydrocarbons","51615","Total Group II Polycyclic Aromatic Hydrocarbons",138,"130498292","627059",,"Group 2","","","","","","","","","Y","","","","","",""
"10100","Polycyclic aromatic hydrocarbons","51614","Total Group I Polycyclic Aromatic Hydrocarbons",124,"130498292","627059",,"Group 2","","","","","","","","","Y","","","","","",""
"10104","Coal ash","51771","Coal ash",0,"68131748","396671",,"Pollutant Not Used for QNCR","","","","","","","","","","","","","","",""
"10107","BOD, carbonaceous, 05 day, 20 C","8082D","BOD, carbonaceous, 05 day, 20 C [per discharge]",0,"","1640614",,"Group 1","","","Y","","","","","","","","","","","",""
"10107","BOD, carbonaceous, 05 day, 20 C","80280","Carbonaceous BOD, 5 day, 20 deg C filtrd",21,"","",,"Group 1","","","Y","","","","","","","","","","","",""
"10107","BOD, carbonaceous [5 day, 20 C]","8082L","BOD, carbonaceous [5 day, 20 C][load]",3,"","1640614",,"Group 1","","","Y","","","","","","","","","","","",""
"10107","BOD, carbonaceous, 05 day, 20 C","80082","BOD, carbonaceous, 05 day, 20 C",18006,"","",,"Group 1","","","Y","","","","","","","","","","","",""
"10107","BOD, carbonaceous, 05 day, 20 C","80278","Non-nitrogenous BOD",0,"","",,"Group 1","","","Y","","","","","","","","","","","",""
"10107","BOD, carbonaceous, 05 day, 20 C","81286","BOD, carbonaceous, 5-day, 20 deg C",3,"","",,"Group 1","","","Y","","","","","","","","","","","",""
"10109","Benz[a]anthracene","34526","Benzo(a)anthracene",3240,"56553","2212",30.69,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10110","Benzo(b)fluoranthene","79531","3,4-Benzofluoranthene",681,"205992","40683",30.66,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10110","Benzo(b)fluoranthene","73354","Benzo(b)fluoranthene, dry weight",0,"205992","40683",30.66,"Pollutant Not Used for QNCR","","","","","","","Y","Y","Y","","","","","",""
"10110","Benzo(b)fluoranthene","34230","Benzo(b)fluoranthene",2572,"205992","40683",30.66,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10113","Aniline","77089","Aniline",62,"62533","3632",.00685872727272727,"Group 2","","","","","","","","Y","Y","","","","","",""
"10113","Aniline","73185","Aniline, dry weight",0,"62533","3632",.00685872727272727,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"10115","o-Toluidine","77142","o-Toluidine",0,"95534","16196",.25,"Group 2","","","","","","","","Y","Y","","","","","",""
"10117","4,4'-Methylenebis[2-chloroaniline]","78123","4,4'-Methylenebis[2-chloroaniline]",0,"101144","19943",,"Group 2","","","","","","","","","Y","","","","","",""
"10118","p-Nitroaniline","78870","4-Nitroaniline",4,"100016","19109",.000550098231827112,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"1012","Chromium","61513","Chromium, sludge total",1,"7440473","150060",.07,"Group 2","","","","","","Y","Y","Y","Y","","","","","",""
"1012","Chromium","1034D","Chromium, total [as Cr] [per discharge]",0,"7440473","150060",.07,"Group 2","","","","","","Y","Y","Y","Y","","","","","",""
"1012","Chromium","01254","Chromium",0,"7440473","150060",.07,"Group 2","","","","","","Y","Y","Y","Y","","","","","",""
"1012","Chromium","82059","Chromium, total",0,"7440473","150060",.07,"Group 2","","","","","","Y","Y","Y","Y","","","","","",""
"1012","Chromium","70028","Chromium, total (as Cr)",0,"7440473","150060",.07,"Pollutant Not Used for QNCR","","","","","","Y","Y","Y","Y","","","","","",""
"1012","Chromium","01118","Chromium, total recoverable",4207,"7440473","150060",.07,"Group 2","","","","","","Y","Y","Y","Y","","","","","",""
"1012","Chromium","78473","Chromium, dry weight",555,"7440473","150060",.07,"Group 2","","","","","","Y","Y","Y","Y","","","","","",""
"1012","Chromium","01029","Chromium, total dry weight (as Cr)",1,"7440473","150060",.07,"Group 2","","","","","","Y","Y","Y","Y","","","","","",""
"1012","Chromium","01030","Chromium, dissolved (as Cr)",275,"7440473","150060",.07,"Group 2","","","","","","Y","Y","Y","Y","","","","","",""
"1012","Chromium","01031","Chromium, suspended (as Cr)",1,"7440473","150060",.07,"Group 2","","","","","","Y","Y","Y","Y","","","","","",""
"1012","Chromium","01024","Chromium, total in bot dep (wet wgt)",115,"7440473","150060",.07,"Group 2","","","","","","Y","Y","Y","Y","","","","","",""
"1012","Chromium","61512","Chromium, sludge solid",1,"7440473","150060",.07,"Group 2","","","","","","Y","Y","Y","Y","","","","","",""
"1012","Chromium","01034","Chromium, total (as Cr)",15490,"7440473","150060",.07,"Group 2","","","","","","Y","Y","Y","Y","","","","","",""
"1012","Chromium","51913","Chromium, total [as Cr] [Can Production]",0,"7440473","150060",,"Group 2","","","","","","","","","Y","","","","","",""
"1012","Chromium","82058","Chromium, total percent removal",0,"7440473","150060",.07,"Group 2","","","","","","Y","Y","Y","Y","","","","","",""
"1012","Chromium","1034A","Chromium",0,"7440473","150060",.07,"Group 2","","","","","","Y","Y","Y","Y","","","","","",""
"10120","N,N-Dimethylaniline","77237","Dimethylaniline",2,"121697","31880",.00781336238198983,"Group 2","","","","","","","","Y","Y","","","","","",""
"10120","N,N-Dimethylaniline","49543","N,N-Dimethylaniline",8,"121697","31880",.00781336238198983,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"10121","N-Nitrosodiphenylamine","78656","Nitrosodiphenylamine",4,"86306","10702",.09,"Group 2","","","","","","","Y","","Y","","","","","",""
"10121","N-Nitrosodiphenylamine","34436","N-Nitrosodiphenylamine, dry weight",0,"86306","10702",.09,"Group 2","","","","","","","Y","","Y","","","","","",""
"10121","N-Nitrosodiphenylamine","34433","N-Nitrosodiphenylamine",1319,"86306","10702",.09,"Group 2","","","","","","","Y","","Y","","","","","",""
"10122",".alpha.-Methylstyrene","45097","Methylstyrene",1,"98839","18317",,"Group 2","","","","","","","","","","","","","","",""
"10123","Cumene","77223","Isopropylbenzene",70,"98828","18309",.00337884615384615,"Group 2","","","","","","","","Y","Y","","","","","",""
"10124","Benzyl chloride","30056","Benzyl chloride",6,"100447","19430",.79,"Group 2","","","","","","","","Y","Y","","","","","",""
"10124","Benzyl chloride","73128","Benzyl chloride",0,"100447","19430",.79,"Group 2","","","","","","","","Y","Y","","","","","",""
"10125","p,p'-DDT","39300","4,4'-DDT",857,"50293","1107",8151.36,"Group 2","","","","","","","Y","Y","","","","","","",""
"10125","p,p'-DDT","39370","DDT",77,"50293","1107",8151.36,"Group 2","","","","","","","Y","Y","","","","","","",""
"10125","p,p'-DDT","34655","p,p'-DDT, dissolved",0,"50293","1107",8151.36,"Group 2","","","","","","","Y","Y","","","","","","",""
"10125","p,p'-DDT","39373","DDT, dry weight",0,"50293","1107",8151.36,"Pollutant Not Used for QNCR","","","","","","","Y","Y","","","","","","",""
"10126","p,p'-DDD","39310","4,4'-DDD",794,"72548","4937",1894.29,"Group 2","","","","","","","Y","Y","","","","","","",""
"10126","p,p'-DDD","39360","DDD in whole water sample",9,"72548","4937",1894.29,"Group 2","","","","","","","Y","Y","","","","","","",""
"10127","p,p'-DDE","39320","4,4'-DDE",784,"72559","4945",2553.11,"Group 2","","","","","","","Y","Y","","","","","","",""
"10127","p,p'-DDE","39365","DDE",30,"72559","4945",2553.11,"Group 2","","","","","","","Y","Y","","","","","","",""
"10127","p,p'-DDE","34653","p,p'-DDE - dissolved",0,"72559","4945",2553.11,"Group 2","","","","","","","Y","Y","","","","","","",""
"10130","1,2,4-Trichlorobenzene","34551","1,2,4-Trichlorobenzene",1552,"120821","31435",.02,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10130","1,2,4-Trichlorobenzene","34554","1,2,4-Trichlorobenzene, dry weight",0,"120821","31435",.02,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10130","1,2,4-Trichlorobenzene","70022","1,2,4-Trichlorobenzene, total",9,"120821","31435",.02,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10132","1,2,4-Trimethylbenzene","77222","1,2,4-Trimethylbenzene",104,"95636","16261",.02,"Group 2","","","","","","","","Y","Y","","","","","",""
"10133","o-Dichlorobenzene","34539","1,2-Dichlorobenzene, dry weight",0,"95501","16162",.01,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10133","o-Dichlorobenzene","04150","o-Dichlorobenzene",7,"95501","16162",.01,"Pollutant Not Used for QNCR","","","","","","","Y","Y","Y","","","","","",""
"10133","o-Dichlorobenzene","34536","1,2-Dichlorobenzene",1747,"95501","16162",.01,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10133","o-Dichlorobenzene","73189","1,2-Dichlorobenzene, dry weight",0,"95501","16162",.01,"Pollutant Not Used for QNCR","","","","","","","Y","Y","Y","","","","","",""
"10134","o-Xylene","77135","o-Xylene",15,"95476","16139",.0043498042042042,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"10134","o-Xylene","81711","ortho-xylene",15,"95476","16139",.0043498042042042,"Group 2","","","","","","","","Y","Y","","","","","",""
"10135","1,3,5-Trimethylbenzene","77226","1,3,5-Trimethylbenzene",70,"108678","25262",,"Group 2","","","","","","","","","","","","","","",""
"10136","m-Dichlorobenzene","34569","1,3-Dichlorobenzene, dry weight",0,"541731","52217",.01,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10136","m-Dichlorobenzene","34566","1,3-Dichlorobenzene",1661,"541731","52217",.01,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10139","m-Xylene","81710",".meta.-Xylene",15,"108383","25056",.00158149743589744,"Group 2","","","","","","","","Y","Y","","","","","",""
"10140","p-Dichlorobenzene","34574","1,4-Dichlorobenzene, dry weight",0,"106467","23622",.07,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10140","p-Dichlorobenzene","03612","para-Dichlorobenzene",6,"106467","23622",.07,"Group 2","","","","","","","Y","Y","Y","","","","","",""
